 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   105.00000000   225.00000000   345.00000000   -115.61053135   10.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   110.00000000   230.00000000   350.00000000   -115.61033398   11.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   115.00000000   235.00000000   355.00000000   -115.61016774   12.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   120.00000000   240.00000000   360.00000000   -115.61003896   13.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   125.00000000   245.00000000   365.00000000   -115.60995126   14.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   130.00000000   250.00000000   370.00000000   -115.60990531   15.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   135.00000000   255.00000000   375.00000000   -115.60989885   16.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   140.00000000   260.00000000   380.00000000   -115.60992699   17.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   145.00000000   265.00000000   385.00000000   -115.60998259   18.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   150.00000000   270.00000000   390.00000000   -115.61005694   19.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   60.00000000   180.00000000   300.00000000   -115.61203261   1.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   155.00000000   275.00000000   395.00000000   -115.61014035   20.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   160.00000000   280.00000000   400.00000000   -115.61022293   21.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   165.00000000   285.00000000   405.00000000   -115.61029525   22.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   170.00000000   290.00000000   410.00000000   -115.61034895   23.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   175.00000000   295.00000000   415.00000000   -115.61037727   24.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   180.00000000   300.00000000   420.00000000   -115.61037542   25.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   65.00000000   185.00000000   305.00000000   -115.61200619   2.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   70.00000000   190.00000000   310.00000000   -115.61192828   3.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   75.00000000   195.00000000   315.00000000   -115.61180285   4.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   80.00000000   200.00000000   320.00000000   -115.61163630   5.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   85.00000000   205.00000000   325.00000000   -115.61143718   6.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   90.00000000   210.00000000   330.00000000   -115.61121568   7.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   95.00000000   215.00000000   335.00000000   -115.61098310   8.0000
 "MMM"   1.42077677   0.96013932   1.09108970   1.08555104   1.09108970   108.12930637   111.95221297   106.58134561   111.95221297   100.00000000   220.00000000   340.00000000   -115.61075118   9.0000
